,team,match_result,goals,xG,shots,shots_on_Target,actual_Points,xPTS,match_id
0,Hertha Berlin,L,1,1.11,10,1,0,1.76,17807
1,Mainz 05,W,2,0.76,11,5,3,0.92,17807
0,Hoffenheim,L,2,2.09,12,5,0,0.31,17808
1,Bayer Leverkusen,W,4,3.93,16,8,3,2.56,17808
0,Freiburg,L,1,1.65,19,3,0,0.82,17809
1,Union Berlin,W,4,2.40,13,5,3,1.95,17809
0,Eintracht Frankfurt,D,1,0.81,18,4,1,0.50,17810
1,Borussia M.Gladbach,D,1,2.03,12,7,1,2.31,17810
0,RasenBallsport Leipzig,W,4,3.44,14,8,3,2.96,17811
1,Augsburg,L,0,0.17,6,1,0,0.02,17811
0,Bayern Munich,D,2,2.77,22,7,1,1.95,17812
1,VfB Stuttgart,D,2,1.96,15,5,1,0.84,17812
0,Arminia Bielefeld,D,1,1.67,9,3,1,0.34,17813
1,RasenBallsport Leipzig,D,1,3.46,20,10,1,2.52,17813
0,Augsburg,W,2,1.17,8,3,3,2.25,17814
1,Greuther Fuerth,L,1,0.34,7,4,0,0.48,17814
0,Mainz 05,D,2,0.85,13,5,1,0.65,17815
1,Eintracht Frankfurt,D,2,1.70,12,4,1,2.11,17815
0,VfB Stuttgart,W,2,3.84,24,12,3,2.82,17816
1,FC Cologne,L,1,1.12,13,2,0,0.12,17816
0,Borussia M.Gladbach,W,5,3.83,18,9,3,2.49,17817
1,Hoffenheim,L,1,1.93,10,2,0,0.38,17817
0,Union Berlin,W,3,3.37,16,11,3,2.92,17818
1,Bochum,L,2,0.39,5,3,0,0.05,17818
0,Bayer Leverkusen,W,2,1.82,11,4,3,1.89,17819
1,Freiburg,L,1,1.15,13,2,0,0.86,17819
0,Wolfsburg,D,2,1.14,9,2,1,0.75,17820
1,Bayern Munich,D,2,2.07,26,8,1,2.02,17820
0,Borussia Dortmund,W,2,1.33,8,2,3,1.76,17821
1,Hertha Berlin,L,1,0.88,4,1,0,0.83,17821
